Person Id,Floor Access DateTime,Floor Level,Building
51,10/1/15 14:06,5,C
23,10/1/15 14:07,1,C
20,10/1/15 14:07,9,B
62,10/1/15 14:07,6,C
33,10/1/15 14:07,10,B
43,10/1/15 14:08,10,B
47,10/1/15 14:11,3,B
12,10/1/15 14:11,1,A
91,10/1/15 14:11,5,B
80,10/1/15 14:12,8,C
57,10/1/15 14:12,10,A
71,10/1/15 14:14,9,C
5,10/1/15 14:14,6,A
8,10/1/15 14:17,9,C
95,10/1/15 14:17,7,A
25,10/1/15 14:18,5,B
25,10/1/15 14:18,3,A
90,10/1/15 14:23,10,B
61,10/1/15 14:26,7,B
49,10/1/15 14:32,10,B
84,10/1/15 14:34,10,B
9,10/1/15 14:38,1,B
56,10/1/15 14:39,8,A
45,10/1/15 14:39,1,A
52,10/1/15 14:39,10,C
50,10/1/15 14:41,1,C
68,10/1/15 14:47,1,C
72,10/1/15 14:47,5,C
76,10/1/15 18:07,8,C
63,10/1/15 18:10,10,B
81,10/1/15 18:11,1,A
65,10/1/15 18:11,6,C
11,10/1/15 18:14,3,A
67,10/1/15 18:14,3,B
13,10/1/15 18:14,8,A
39,10/1/15 18:18,2,C
3,10/1/15 18:19,7,C
77,10/1/15 18:22,9,C
52,10/1/15 18:22,6,A
89,10/1/15 18:24,2,C
61,10/1/15 18:30,5,C
41,10/1/15 18:31,8,C
82,10/1/15 18:33,7,B
64,10/1/15 18:36,10,B
59,10/1/15 18:36,4,A
73,10/1/15 18:36,6,A
84,10/1/15 18:36,1,C
94,10/1/15 18:37,5,A
15,10/1/15 19:01,2,C
44,10/1/15 19:03,5,C
54,10/1/15 19:04,1,B
49,10/1/15 19:06,10,C
6,10/1/15 19:06,10,C
21,10/1/15 19:06,6,C
29,10/1/15 19:06,4,B
57,10/1/15 19:07,10,C
32,10/1/15 19:07,2,B
74,10/1/15 19:07,1,C
38,10/1/15 19:07,8,A
4,10/1/15 19:07,9,B
60,10/1/15 19:07,10,B
86,10/1/15 19:07,6,C
97,10/1/15 19:08,6,A
85,10/1/15 19:08,9,A
88,10/1/15 19:08,2,A
5,10/1/15 19:08,5,B
42,10/1/15 19:08,4,C
33,10/1/15 19:09,10,A
87,10/1/15 19:09,9,C
69,10/1/15 19:10,5,B
55,10/1/15 19:10,8,C
79,10/1/15 19:11,8,B
10,10/1/15 19:11,8,C
47,10/1/15 19:11,1,B
2,10/1/15 19:12,6,B
35,10/1/15 19:12,10,A
17,10/1/15 19:13,5,B
36,10/1/15 19:17,4,A
9,10/1/15 19:17,2,C
66,10/1/15 19:18,10,A
51,10/1/15 19:19,7,A
56,10/1/15 19:20,5,B
16,10/1/15 19:21,5,B
40,10/1/15 19:22,8,B
22,10/1/15 19:23,3,C
24,10/1/15 19:24,2,C
37,10/1/15 19:27,9,B
45,10/1/15 19:30,9,A
23,10/1/15 19:31,6,A
93,10/1/15 19:32,3,A
75,10/1/15 19:33,8,C
91,10/1/15 19:37,10,C
25,10/1/15 19:37,1,C
31,10/1/15 19:37,9,B
20,10/1/15 19:38,9,C
58,10/1/15 19:43,2,B
62,10/1/15 19:44,3,A
12,10/1/15 19:48,4,C
72,10/1/15 19:49,3,B
53,10/1/15 20:00,6,B
78,10/1/15 20:00,2,C
1,10/1/15 20:03,3,C
46,10/1/15 20:04,7,A
80,10/1/15 20:04,6,C
18,10/1/15 20:06,1,C
71,10/1/15 20:11,2,B
30,10/1/15 20:14,4,C
7,10/1/15 20:16,9,A
70,10/1/15 20:16,5,B
8,10/1/15 20:18,8,C
92,10/1/15 20:19,4,C
83,10/1/15 20:19,1,A
68,10/1/15 20:20,10,B
18,10/1/15 20:23,4,C
19,10/1/15 20:23,9,B
43,10/1/15 20:27,10,B
50,10/1/15 20:28,5,C
95,10/1/15 20:28,3,B
96,10/1/15 20:30,10,C
28,10/1/15 20:30,3,B
34,10/1/15 20:30,8,A
48,10/1/15 20:30,2,B
90,10/1/15 20:31,9,C
26,10/1/15 20:33,7,B
14,10/1/15 20:38,2,A
27,10/1/15 20:49,1,B
1,10/2/15 8:02,3,B
2,10/2/15 8:02,6,C
3,10/2/15 8:03,10,A
4,10/2/15 8:04,6,A
5,10/2/15 8:04,4,A
6,10/2/15 8:07,5,B
7,10/2/15 8:07,2,B
8,10/2/15 8:07,2,A
9,10/2/15 8:07,5,A
10,10/2/15 8:14,3,C
11,10/2/15 8:27,3,B
12,10/2/15 8:28,5,C
13,10/2/15 8:28,8,C
14,10/2/15 8:33,7,A
15,10/2/15 8:38,2,C
16,10/2/15 8:40,1,A
17,10/2/15 9:00,1,A
18,10/2/15 9:00,3,A
19,10/2/15 9:00,5,C
20,10/2/15 9:00,2,A
21,10/2/15 9:00,4,A
22,10/2/15 9:04,1,C
23,10/2/15 9:08,8,B
24,10/2/15 9:09,2,B
25,10/2/15 9:10,7,B
26,10/2/15 9:11,5,A
27,10/2/15 9:12,5,B
28,10/2/15 9:18,9,A
29,10/2/15 9:27,5,B
30,10/2/15 9:27,2,C
31,10/2/15 9:28,9,A
32,10/2/15 9:32,4,A
33,10/2/15 9:36,10,A
34,10/2/15 9:47,10,C
35,10/2/15 9:47,2,C
36,10/2/15 10:00,7,B
37,10/2/15 10:00,6,C
38,10/2/15 10:00,8,B
39,10/2/15 10:00,7,C
40,10/2/15 10:04,3,A
41,10/2/15 10:07,8,B
42,10/2/15 10:07,5,B
43,10/2/15 10:11,9,B
44,10/2/15 10:12,8,A
45,10/2/15 10:13,2,B
46,10/2/15 10:16,7,A
47,10/2/15 10:17,1,C
48,10/2/15 10:17,1,C
49,10/2/15 10:19,6,C
50,10/2/15 10:19,3,B
51,10/2/15 10:20,7,A
52,10/2/15 10:20,9,A
53,10/2/15 10:20,5,B
54,10/2/15 10:20,5,B
55,10/2/15 10:21,4,B
56,10/2/15 10:21,4,C
57,10/2/15 10:23,9,A
58,10/2/15 10:24,10,C
59,10/2/15 10:26,5,A
60,10/2/15 10:27,7,A
61,10/2/15 10:27,1,A
62,10/2/15 10:27,6,A
63,10/2/15 10:28,10,A
64,10/2/15 10:28,4,A
65,10/2/15 10:29,1,C
66,10/2/15 10:30,1,A
67,10/2/15 10:31,4,A
68,10/2/15 10:31,7,B
69,10/2/15 10:32,6,C
70,10/2/15 10:32,4,B
71,10/2/15 10:32,8,B
72,10/2/15 10:32,8,C
73,10/2/15 10:33,2,A
74,10/2/15 10:34,10,A
75,10/2/15 10:34,9,A
76,10/2/15 10:37,7,B
77,10/2/15 10:37,1,C
78,10/2/15 10:37,5,B
79,10/2/15 10:37,5,C
80,10/2/15 10:38,1,A
81,10/2/15 10:38,1,B
82,10/2/15 10:40,1,C
83,10/2/15 10:40,7,A
84,10/2/15 10:40,2,A
85,10/2/15 10:40,7,B
86,10/2/15 10:40,4,B
87,10/2/15 10:41,6,A
88,10/2/15 10:41,3,B
89,10/2/15 10:42,4,B
18,10/2/15 10:42,4,A
90,10/2/15 10:43,8,B
91,10/2/15 10:44,5,A
92,10/2/15 10:46,8,C
93,10/2/15 10:47,9,B
94,10/2/15 10:47,5,C
95,10/2/15 10:48,1,A
96,10/2/15 10:48,4,A
97,10/2/15 10:49,1,A
13,10/2/15 12:00,1,A
13,10/2/15 12:01,5,C
22,10/2/15 12:02,2,B
31,10/2/15 12:02,10,C
22,10/2/15 12:03,10,A
44,10/2/15 12:03,5,A
16,10/2/15 12:03,7,B
38,10/2/15 12:11,6,B
51,10/2/15 12:14,7,B
4,10/2/15 12:16,5,B
58,10/2/15 12:19,7,A
82,10/2/15 12:21,6,C
12,10/2/15 12:23,2,C
91,10/2/15 12:26,1,A
80,10/2/15 12:29,6,A
71,10/2/15 12:36,10,B
8,10/2/15 12:40,3,A
33,10/2/15 12:46,6,A
21,10/2/15 13:00,7,C
52,10/2/15 13:00,9,C
64,10/2/15 13:01,5,B
31,10/2/15 13:01,3,C
74,10/2/15 13:01,9,C
61,10/2/15 13:01,5,B
65,10/2/15 13:02,2,C
15,10/2/15 13:03,5,B
24,10/2/15 13:04,7,A
63,10/2/15 13:07,10,A
64,10/2/15 13:07,8,A
44,10/2/15 13:07,8,B
88,10/2/15 13:08,5,A
77,10/2/15 13:10,2,B
67,10/2/15 13:11,4,A
11,10/2/15 13:11,1,A
3,10/2/15 13:11,6,A
46,10/2/15 13:11,4,B
45,10/2/15 13:14,5,C
39,10/2/15 13:14,9,A
94,10/2/15 13:14,6,C
46,10/2/15 13:16,8,A
89,10/2/15 13:17,2,C
48,10/2/15 13:17,10,C
51,10/2/15 13:18,7,B
73,10/2/15 13:19,5,B
23,10/2/15 13:20,4,A
11,10/2/15 13:21,2,C
43,10/2/15 13:21,9,A
5,10/2/15 13:22,2,C
40,10/2/15 13:22,6,C
28,10/2/15 13:22,4,A
75,10/2/15 13:23,3,C
86,10/2/15 13:24,9,C
47,10/2/15 13:24,3,A
76,10/2/15 13:24,3,B
41,10/2/15 13:26,2,C
50,10/2/15 13:27,10,C
36,10/2/15 13:28,3,A
42,10/2/15 13:29,2,B
37,10/2/15 13:29,8,A
54,10/2/15 13:31,9,B
65,10/2/15 13:33,1,A
69,10/2/15 13:37,7,C
56,10/2/15 13:39,9,B
81,10/2/15 13:40,1,C
39,10/2/15 13:44,3,B
15,10/2/15 13:47,9,A
6,10/2/15 13:47,6,B
58,10/2/15 13:48,9,A
63,10/2/15 13:48,4,C
93,10/2/15 14:00,5,B
41,10/2/15 14:00,1,A
20,10/2/15 14:01,4,A
62,10/2/15 14:02,9,A
66,10/2/15 14:03,6,C
84,10/2/15 14:03,4,A
24,10/2/15 14:03,6,B
9,10/2/15 14:04,8,A
48,10/2/15 14:04,3,C
66,10/2/15 14:04,6,A
66,10/2/15 14:06,8,C
51,10/2/15 14:06,8,A
23,10/2/15 14:07,2,C
20,10/2/15 14:07,3,A
62,10/2/15 14:07,2,C
33,10/2/15 14:07,8,A
43,10/2/15 14:08,8,C
47,10/2/15 14:11,1,C
12,10/2/15 14:11,1,A
91,10/2/15 14:11,4,B
80,10/2/15 14:12,9,B
57,10/2/15 14:12,2,B
71,10/2/15 14:14,10,B
5,10/2/15 14:14,4,B
8,10/2/15 14:17,9,A
95,10/2/15 14:17,9,B
25,10/2/15 14:18,7,C
25,10/2/15 14:18,3,B
90,10/2/15 14:23,9,A
61,10/2/15 14:26,6,A
49,10/2/15 14:32,2,B
84,10/2/15 14:34,7,B
9,10/2/15 14:38,4,B
56,10/2/15 14:39,4,C
45,10/2/15 14:39,7,A
52,10/2/15 14:39,1,B
50,10/2/15 14:41,9,C
68,10/2/15 14:47,2,B
72,10/2/15 14:47,3,C
76,10/2/15 18:07,7,A
63,10/2/15 18:10,8,A
81,10/2/15 18:11,10,B
65,10/2/15 18:11,6,A
11,10/2/15 18:14,2,C
67,10/2/15 18:14,7,C
13,10/2/15 18:14,5,C
39,10/2/15 18:18,5,B
3,10/2/15 18:19,5,B
77,10/2/15 18:22,6,C
52,10/2/15 18:22,8,B
89,10/2/15 18:24,2,C
61,10/2/15 18:30,10,A
41,10/2/15 18:31,8,C
82,10/2/15 18:33,6,B
64,10/2/15 18:36,9,B
59,10/2/15 18:36,9,A
73,10/2/15 18:36,9,C
84,10/2/15 18:36,8,C
94,10/2/15 18:37,10,C
15,10/2/15 19:01,10,C
44,10/2/15 19:03,8,C
54,10/2/15 19:04,9,C
49,10/2/15 19:06,4,A
6,10/2/15 19:06,8,A
21,10/2/15 19:06,7,C
29,10/2/15 19:06,10,A
57,10/2/15 19:07,5,B
32,10/2/15 19:07,2,B
74,10/2/15 19:07,9,C
38,10/2/15 19:07,8,A
4,10/2/15 19:07,9,A
60,10/2/15 19:07,9,B
86,10/2/15 19:07,2,B
97,10/2/15 19:08,7,C
85,10/2/15 19:08,8,C
88,10/2/15 19:08,3,A
5,10/2/15 19:08,1,A
42,10/2/15 19:08,5,C
33,10/2/15 19:09,1,C
87,10/2/15 19:09,7,B
69,10/2/15 19:10,7,C
55,10/2/15 19:10,7,C
79,10/2/15 19:11,10,C
10,10/2/15 19:11,8,A
47,10/2/15 19:11,1,A
2,10/2/15 19:12,10,B
35,10/2/15 19:12,4,C
17,10/2/15 19:13,7,C
36,10/2/15 19:17,5,B
9,10/2/15 19:17,2,A
66,10/2/15 19:18,3,C
51,10/2/15 19:19,10,A
56,10/2/15 19:20,5,C
16,10/2/15 19:21,10,A
40,10/2/15 19:22,6,B
22,10/2/15 19:23,10,B
24,10/2/15 19:24,5,B
37,10/2/15 19:27,5,A
45,10/2/15 19:30,6,B
23,10/2/15 19:31,6,A
93,10/2/15 19:32,10,A
75,10/2/15 19:33,4,B
91,10/2/15 19:37,5,C
25,10/2/15 19:37,3,C
31,10/2/15 19:37,6,B
20,10/2/15 19:38,8,B
58,10/2/15 19:43,4,C
62,10/2/15 19:44,3,A
12,10/2/15 19:48,5,A
72,10/2/15 19:49,2,A
53,10/2/15 20:00,6,C
78,10/2/15 20:00,1,B
1,10/2/15 20:03,9,A
46,10/2/15 20:04,1,B
80,10/2/15 20:04,5,B
18,10/2/15 20:06,3,C
71,10/2/15 20:11,4,C
30,10/2/15 20:14,2,B
7,10/2/15 20:16,1,B
70,10/2/15 20:16,5,A
8,10/2/15 20:18,5,A
92,10/2/15 20:19,4,A
83,10/2/15 20:19,5,A
68,10/2/15 20:20,5,C
18,10/2/15 20:23,8,A
19,10/2/15 20:23,4,C
43,10/2/15 20:27,1,B
50,10/2/15 20:28,7,B
95,10/2/15 20:28,9,C
96,10/2/15 20:30,8,B
34,10/2/15 20:30,9,C
48,10/2/15 20:30,3,C
90,10/2/15 20:31,10,C
26,10/2/15 20:33,3,B
14,10/2/15 20:38,5,B
28,10/2/15 20:40,5,A
27,10/2/15 20:49,1,A
1,10/5/15 8:02,5,C
2,10/5/15 8:02,8,C
3,10/5/15 8:03,2,C
4,10/5/15 8:04,9,C
5,10/5/15 8:04,2,B
6,10/5/15 8:07,3,B
7,10/5/15 8:07,4,B
8,10/5/15 8:07,1,B
9,10/5/15 8:07,1,A
10,10/5/15 8:14,10,A
11,10/5/15 8:27,1,A
12,10/5/15 8:28,8,B
13,10/5/15 8:28,6,A
14,10/5/15 8:33,5,B
15,10/5/15 8:38,8,A
16,10/5/15 8:40,2,A
17,10/5/15 9:00,2,A
18,10/5/15 9:00,10,C
19,10/5/15 9:00,9,A
20,10/5/15 9:00,4,B
21,10/5/15 9:00,4,C
23,10/5/15 9:08,2,A
24,10/5/15 9:09,4,A
25,10/5/15 9:10,2,A
26,10/5/15 9:11,5,C
27,10/5/15 9:12,6,A
28,10/5/15 9:18,4,A
29,10/5/15 9:27,1,A
30,10/5/15 9:27,1,B
32,10/5/15 9:32,2,C
33,10/5/15 9:36,8,C
34,10/5/15 9:47,6,C
35,10/5/15 9:47,10,B
36,10/5/15 10:00,6,A
37,10/5/15 10:00,5,A
38,10/5/15 10:00,1,A
39,10/5/15 10:00,6,C
40,10/5/15 10:04,2,A
41,10/5/15 10:07,5,B
42,10/5/15 10:07,4,B
43,10/5/15 10:11,9,B
44,10/5/15 10:12,4,A
45,10/5/15 10:13,9,C
46,10/5/15 10:16,1,B
47,10/5/15 10:17,1,B
48,10/5/15 10:17,7,A
49,10/5/15 10:19,4,C
50,10/5/15 10:19,2,B
51,10/5/15 10:20,2,A
52,10/5/15 10:20,9,C
53,10/5/15 10:20,6,C
54,10/5/15 10:20,4,A
55,10/5/15 10:21,8,A
56,10/5/15 10:21,8,B
57,10/5/15 10:23,6,B
58,10/5/15 10:24,8,B
59,10/5/15 10:26,2,A
60,10/5/15 10:27,2,B
61,10/5/15 10:27,3,B
62,10/5/15 10:27,6,C
64,10/5/15 10:28,5,C
65,10/5/15 10:29,5,B
66,10/5/15 10:30,5,C
67,10/5/15 10:31,7,C
68,10/5/15 10:31,6,B
69,10/5/15 10:32,8,B
70,10/5/15 10:32,10,A
71,10/5/15 10:32,9,B
72,10/5/15 10:32,6,A
73,10/5/15 10:33,7,C
74,10/5/15 10:34,2,C
75,10/5/15 10:34,8,A
76,10/5/15 10:37,6,B
77,10/5/15 10:37,3,C
78,10/5/15 10:37,2,C
79,10/5/15 10:37,6,B
80,10/5/15 10:38,9,B
81,10/5/15 10:38,1,B
82,10/5/15 10:40,8,B
83,10/5/15 10:40,6,C
84,10/5/15 10:40,1,B
85,10/5/15 10:40,7,B
86,10/5/15 10:40,3,A
87,10/5/15 10:41,9,A
88,10/5/15 10:41,9,B
89,10/5/15 10:42,1,C
18,10/5/15 10:42,4,B
90,10/5/15 10:43,10,C
91,10/5/15 10:44,4,A
92,10/5/15 10:46,10,A
93,10/5/15 10:47,7,A
94,10/5/15 10:47,4,C
95,10/5/15 10:48,3,A
96,10/5/15 10:48,1,B
97,10/5/15 10:49,10,C
13,10/5/15 12:00,4,C
13,10/5/15 12:01,1,C
31,10/5/15 12:02,1,C
44,10/5/15 12:03,9,A
16,10/5/15 12:03,9,B
38,10/5/15 12:11,10,C
51,10/5/15 12:14,5,B
4,10/5/15 12:16,10,A
58,10/5/15 12:19,4,B
82,10/5/15 12:21,3,A
12,10/5/15 12:23,2,A
91,10/5/15 12:26,2,C
80,10/5/15 12:29,2,B
71,10/5/15 12:36,8,C
8,10/5/15 12:40,9,B
33,10/5/15 12:46,2,B
21,10/5/15 13:00,9,C
52,10/5/15 13:00,2,B
64,10/5/15 13:01,9,B
31,10/5/15 13:01,7,A
74,10/5/15 13:01,1,A
61,10/5/15 13:01,5,B
65,10/5/15 13:02,8,C
15,10/5/15 13:03,4,B
24,10/5/15 13:04,10,C
64,10/5/15 13:07,9,A
44,10/5/15 13:07,5,C
88,10/5/15 13:08,8,C
77,10/5/15 13:10,10,C
67,10/5/15 13:11,4,C
11,10/5/15 13:11,9,C
3,10/5/15 13:11,8,C
46,10/5/15 13:11,6,A
45,10/5/15 13:14,1,B
39,10/5/15 13:14,10,B
94,10/5/15 13:14,5,B
46,10/5/15 13:16,7,B
89,10/5/15 13:17,5,B
48,10/5/15 13:17,2,B
51,10/5/15 13:18,4,B
73,10/5/15 13:19,9,B
23,10/5/15 13:20,10,B
11,10/5/15 13:21,10,A
43,10/5/15 13:21,6,C
5,10/5/15 13:22,9,C
40,10/5/15 13:22,5,C
28,10/5/15 13:22,9,B
75,10/5/15 13:23,10,C
86,10/5/15 13:24,9,C
47,10/5/15 13:24,1,C
76,10/5/15 13:24,6,A
41,10/5/15 13:26,5,A
50,10/5/15 13:27,5,B
36,10/5/15 13:28,8,B
42,10/5/15 13:29,4,B
37,10/5/15 13:29,1,A
54,10/5/15 13:31,8,A
65,10/5/15 13:33,4,C
69,10/5/15 13:37,8,A
56,10/5/15 13:39,1,C
81,10/5/15 13:40,2,A
39,10/5/15 13:44,1,C
15,10/5/15 13:47,3,C
6,10/5/15 13:47,6,B
58,10/5/15 13:48,5,B
93,10/5/15 14:00,7,C
41,10/5/15 14:00,2,B
20,10/5/15 14:01,9,A
62,10/5/15 14:02,1,B
66,10/5/15 14:03,7,B
84,10/5/15 14:03,5,A
24,10/5/15 14:03,3,C
9,10/5/15 14:04,6,A
48,10/5/15 14:04,2,A
66,10/5/15 14:04,8,A
66,10/5/15 14:06,9,A
51,10/5/15 14:06,5,C
23,10/5/15 14:07,5,A
20,10/5/15 14:07,1,B
62,10/5/15 14:07,1,C
33,10/5/15 14:07,3,B
43,10/5/15 14:08,3,A
47,10/5/15 14:11,8,C
12,10/5/15 14:11,4,A
91,10/5/15 14:11,10,B
80,10/5/15 14:12,4,A
57,10/5/15 14:12,10,C
71,10/5/15 14:14,9,C
5,10/5/15 14:14,5,B
8,10/5/15 14:17,1,C
95,10/5/15 14:17,5,C
25,10/5/15 14:18,6,B
25,10/5/15 14:18,9,C
90,10/5/15 14:23,7,B
61,10/5/15 14:26,4,B
49,10/5/15 14:32,4,A
84,10/5/15 14:34,10,C
9,10/5/15 14:38,9,A
56,10/5/15 14:39,3,C
45,10/5/15 14:39,1,A
52,10/5/15 14:39,8,A
50,10/5/15 14:41,6,A
68,10/5/15 14:47,3,A
72,10/5/15 14:47,5,A
76,10/5/15 18:07,5,B
81,10/5/15 18:11,3,B
65,10/5/15 18:11,4,B
11,10/5/15 18:14,6,C
67,10/5/15 18:14,10,C
13,10/5/15 18:14,1,A
39,10/5/15 18:18,8,B
3,10/5/15 18:19,4,C
77,10/5/15 18:22,3,B
52,10/5/15 18:22,8,B
89,10/5/15 18:24,7,B
61,10/5/15 18:30,8,A
41,10/5/15 18:31,1,A
82,10/5/15 18:33,10,C
64,10/5/15 18:36,4,B
59,10/5/15 18:36,3,A
73,10/5/15 18:36,1,C
84,10/5/15 18:36,2,A
94,10/5/15 18:37,10,A
15,10/5/15 19:01,10,B
44,10/5/15 19:03,7,C
54,10/5/15 19:04,10,B
49,10/5/15 19:06,7,C
6,10/5/15 19:06,8,B
21,10/5/15 19:06,2,C
29,10/5/15 19:06,6,A
57,10/5/15 19:07,3,A
32,10/5/15 19:07,3,C
74,10/5/15 19:07,7,C
38,10/5/15 19:07,2,C
4,10/5/15 19:07,8,A
60,10/5/15 19:07,5,C
86,10/5/15 19:07,10,A
97,10/5/15 19:08,7,C
85,10/5/15 19:08,4,C
88,10/5/15 19:08,5,B
5,10/5/15 19:08,4,A
42,10/5/15 19:08,3,B
33,10/5/15 19:09,2,B
87,10/5/15 19:09,5,B
69,10/5/15 19:10,4,B
55,10/5/15 19:10,2,B
79,10/5/15 19:11,8,C
10,10/5/15 19:11,4,B
47,10/5/15 19:11,2,B
2,10/5/15 19:12,1,B
35,10/5/15 19:12,1,C
17,10/5/15 19:13,2,B
36,10/5/15 19:17,2,B
9,10/5/15 19:17,1,C
66,10/5/15 19:18,5,B
51,10/5/15 19:19,8,A
56,10/5/15 19:20,10,C
16,10/5/15 19:21,4,B
40,10/5/15 19:22,1,C
24,10/5/15 19:24,2,B
37,10/5/15 19:27,1,C
45,10/5/15 19:30,10,A
23,10/5/15 19:31,4,A
93,10/5/15 19:32,6,B
75,10/5/15 19:33,5,C
91,10/5/15 19:37,6,A
25,10/5/15 19:37,4,A
